id,name,slug,games_count,image_background,games
4,Bethesda Softworks,bethesda-softworks,63,https://media.rawg.io/media/games/596/596a48ef3b62b63b4cc59633e28be903.jpg,"[{'id': 2454, 'slug': 'doom', 'name': 'DOOM (2016)', 'added': 14018}, {'id': 3696, 'slug': 'wolfenstein-the-new-order', 'name': 'Wolfenstein: The New Order', 'added': 10459}, {'id': 864, 'slug': 'dishonored-2', 'name': 'Dishonored 2', 'added': 10020}, {'id': 4248, 'slug': 'dishonored', 'name': 'Dishonored', 'added': 9982}, {'id': 58777, 'slug': 'doom-eternal', 'name': 'DOOM Eternal', 'added': 7985}, {'id': 28202, 'slug': 'wolfenstein-2-the-new-colossus', 'name': 'Wolfenstein II: The New Colossus', 'added': 7296}]"
694,Telltale Games,telltale-games,131,https://media.rawg.io/media/games/674/674b67b66f510f5b273f50ca09341ee2.jpg,"[{'id': 23027, 'slug': 'the-walking-dead', 'name': 'The Walking Dead: Season 1', 'added': 11676}, {'id': 1682, 'slug': 'the-wolf-among-us', 'name': 'The Wolf Among Us', 'added': 7815}, {'id': 15834, 'slug': 'the-walking-dead-season-2', 'name': 'The Walking Dead: Season 2', 'added': 6284}, {'id': 2166, 'slug': 'game-of-thrones-a-telltale-games-series', 'name': 'Game of Thrones - A Telltale Games Series', 'added': 5287}, {'id': 2100, 'slug': 'tales-from-the-borderlands', 'name': 'Tales from the Borderlands: A Telltale Game Series', 'added': 5148}, {'id': 2255, 'slug': '7-days-to-die', 'name': '7 Days to Die', 'added': 4314}]"
383,2K,2k,60,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg,"[{'id': 802, 'slug': 'borderlands-2', 'name': 'Borderlands 2', 'added': 16005}, {'id': 4427, 'slug': 'bioshock-2', 'name': 'BioShock 2', 'added': 11553}, {'id': 4828, 'slug': 'borderlands', 'name': 'Borderlands', 'added': 10138}, {'id': 3543, 'slug': 'borderlands-the-pre-sequel', 'name': 'Borderlands: The Pre-Sequel', 'added': 9315}, {'id': 13910, 'slug': 'xcom-enemy-unknown', 'name': 'XCOM: Enemy Unknown', 'added': 8520}, {'id': 4223, 'slug': 'the-darkness-ii', 'name': 'The Darkness II', 'added': 8140}]"
3,Warner Bros. Interactive,warner-bros-interactive,79,https://media.rawg.io/media/screenshots/1c9/1c9c69f0edb8c4f45e3fa6958fb8d40a.jpg,"[{'id': 108, 'slug': 'mortal-kombat-x', 'name': 'Mortal Kombat X', 'added': 9032}, {'id': 613, 'slug': 'bastion', 'name': 'Bastion', 'added': 8751}, {'id': 25, 'slug': 'middle-earth-shadow-of-war', 'name': 'Middle-earth: Shadow of War', 'added': 8756}, {'id': 2235, 'slug': 'batman-arkham-origins', 'name': 'Batman: Arkham Origins', 'added': 8059}, {'id': 2597, 'slug': 'lego-lord-of-the-rings', 'name': 'LEGO The Lord of the Rings', 'added': 5990}, {'id': 3729, 'slug': 'lego-the-hobbit', 'name': 'LEGO The Hobbit', 'added': 5486}]"
386,BANDAI NAMCO Entertainment America,bandai-namco-entertainment-america-inc,138,https://media.rawg.io/media/screenshots/104/104603a5c863d6fa6be4d4bb1fed6db6.jpeg,"[{'id': 41, 'slug': 'little-nightmares', 'name': 'Little Nightmares', 'added': 11663}, {'id': 2551, 'slug': 'dark-souls-iii', 'name': 'Dark Souls III', 'added': 11217}, {'id': 3371, 'slug': 'dark-souls-ii-scholar-of-the-first-sin', 'name': 'Dark Souls II: Scholar of the First Sin', 'added': 6205}, {'id': 36, 'slug': 'tekken-7', 'name': 'TEKKEN 7', 'added': 4198}, {'id': 5538, 'slug': 'dark-souls', 'name': 'Dark Souls', 'added': 3335}, {'id': 58637, 'slug': 'code-vein', 'name': 'Code Vein', 'added': 2991}]"
343,id Software,id-software,90,https://media.rawg.io/media/games/38a/38af969459ad6e5de116ec8a4a84218c.jpg,"[{'id': 2454, 'slug': 'doom', 'name': 'DOOM (2016)', 'added': 14018}, {'id': 58777, 'slug': 'doom-eternal', 'name': 'DOOM Eternal', 'added': 7985}, {'id': 28202, 'slug': 'wolfenstein-2-the-new-colossus', 'name': 'Wolfenstein II: The New Colossus', 'added': 7296}, {'id': 43877, 'slug': 'quake-champions', 'name': 'Quake Champions', 'added': 7180}, {'id': 5636, 'slug': 'rage', 'name': 'Rage', 'added': 4645}, {'id': 19458, 'slug': 'doom-3', 'name': 'Doom 3', 'added': 3958}]"
4015,Gearbox Software,gearbox-software,57,https://media.rawg.io/media/games/4e2/4e2270713ba0d59ea1dba61158ff842e.jpg,"[{'id': 802, 'slug': 'borderlands-2', 'name': 'Borderlands 2', 'added': 16005}, {'id': 18080, 'slug': 'half-life', 'name': 'Half-Life', 'added': 11519}, {'id': 4828, 'slug': 'borderlands', 'name': 'Borderlands', 'added': 10138}, {'id': 3543, 'slug': 'borderlands-the-pre-sequel', 'name': 'Borderlands: The Pre-Sequel', 'added': 9315}, {'id': 19542, 'slug': 'half-life-blue-shift', 'name': 'Half-Life: Blue Shift', 'added': 7033}, {'id': 21265, 'slug': 'half-life-opposing-force', 'name': 'Half-Life: Opposing Force', 'added': 7017}]"
436,Devolver Digital,devolver-digital,61,https://media.rawg.io/media/screenshots/2fc/2fc6994425146f9dba3133400b414e29.jpg,"[{'id': 3612, 'slug': 'hotline-miami', 'name': 'Hotline Miami', 'added': 10899}, {'id': 11435, 'slug': 'viscera-cleanup-detail-shadow-warrior', 'name': 'Viscera Cleanup Detail: Shadow Warrior', 'added': 7412}, {'id': 2733, 'slug': 'broforce', 'name': 'Broforce', 'added': 6387}, {'id': 3408, 'slug': 'hotline-miami-2-wrong-number', 'name': 'Hotline Miami 2: Wrong Number', 'added': 6447}, {'id': 3368, 'slug': 'titan-souls', 'name': 'Titan Souls', 'added': 5735}, {'id': 3697, 'slug': 'serious-sam-3-bfe', 'name': 'Serious Sam 3: BFE', 'added': 5336}]"
4207,Bethesda Game Studios,bethesda-game-studios,42,https://media.rawg.io/media/screenshots/a9d/a9d494c3789952790470cfbcf0f8e367.jpg,"[{'id': 5679, 'slug': 'the-elder-scrolls-v-skyrim', 'name': 'The Elder Scrolls V: Skyrim', 'added': 16834}, {'id': 3070, 'slug': 'fallout-4', 'name': 'Fallout 4', 'added': 14278}, {'id': 12447, 'slug': 'the-elder-scrolls-v-skyrim-special-edition', 'name': 'The Elder Scrolls V: Skyrim Special Edition', 'added': 10081}, {'id': 58777, 'slug': 'doom-eternal', 'name': 'DOOM Eternal', 'added': 7985}, {'id': 559, 'slug': 'fallout-shelter', 'name': 'Fallout Shelter', 'added': 7107}, {'id': 5562, 'slug': 'fallout-3', 'name': 'Fallout 3', 'added': 6698}]"
16257,Nintendo,nintendo,429,https://media.rawg.io/media/games/c23/c231ef56cdd277fad5fbcd2f6b7d2951.jpg,"[{'id': 22511, 'slug': 'the-legend-of-zelda-breath-of-the-wild', 'name': 'The Legend of Zelda: Breath of the Wild', 'added': 6344}, {'id': 28026, 'slug': 'super-mario-odyssey', 'name': 'Super Mario Odyssey', 'added': 3886}, {'id': 58829, 'slug': 'super-smash-bros-ultimate', 'name': 'Super Smash Bros. Ultimate', 'added': 2245}, {'id': 25097, 'slug': 'the-legend-of-zelda-ocarina-of-time', 'name': 'The Legend of Zelda: Ocarina of Time', 'added': 1882}, {'id': 421698, 'slug': 'animal-crossing-2019', 'name': 'Animal Crossing: New Horizons', 'added': 1862}, {'id': 23165, 'slug': 'mario-kart-8-deluxe', 'name': 'Mario Kart 8 Deluxe', 'added': 1860}]"
